rest_type,rest_name,rest_score,rest_votes,rest_reviews,rest_cuisine,rest_zone,rest_addressrest_cost,rest_timings,rest_featured_in,rest_call
['Caf\xc3\xa9'],['Prithvi Cafe'],['4.3'],['3718 votes'],['2174 reviews'],"['Cafe', 'Fast Food']",['Juhu'],"['Prithvi Theatre, Janki Kutir, Juhu Church Road, Juhu, Mumbai']",['\xe2\x82\xb9350'],['11 AM to 10:30 PM (Mon-Sun)'],['Great coffee'],['022 26174118']
['Casual Dining'],['Farzi Cafe'],['4.3'],['1013 votes'],['811 reviews'],['Modern Indian'],['Lower Parel'],"['Kamala Mills, Near Radio Mirchi Office, Lower Parel, Mumbai']","['\xe2\x82\xb91,500']",['12 Noon to 1 AM (Mon-Sun)'],"['Book a table online on Zomato', 'Trending this week']",['022 30150851']
['Fine Dining'],['Masala Library'],['4.9'],['2661 votes'],['1479 reviews'],"['North Indian', 'South Indian']","['First International Financial Centre, Bandra Kurla Complex']","['Ground Floor, First International Financial Centre, Bandra Kurla Complex, Mumbai']","['\xe2\x82\xb95,000']","['12 Noon to 2:30 PM, 7 PM to 11:30 PM (Mon-Sun)']",['Insta-worthy'],"['022 66424142, +91 8452900900']"
['Lounge'],['The Junkyard Cafe'],['3.7'],['202 votes'],['163 reviews'],"['North Indian', 'Mediterranean', 'American']","['Hill Road, Bandra West']","['164, Hill Road, Bandra West']","['\xe2\x82\xb91,300']",['12 Noon to 1 AM (Mon-Sun)'],['Newly opened'],['022 33956152']
"['Bar', ',', 'Casual Dining']",['Summer House Cafe'],['4.5'],['125 votes'],['120 reviews'],"['American', 'Lebanese', 'Italian']",['Lower Parel'],"['Todi Mill, Lower Parel, Mumbai']","['\xe2\x82\xb92,000']",['12 Noon to 1 AM (Mon-Sun)'],"['Newly opened', 'Trending this week']",['022 33951631']
"['Bar', ',', 'Casual Dining']",['145 Kala Ghoda'],['4.1'],['1440 votes'],['1065 reviews'],"['Fast Food', 'Beverages', 'Desserts']",['Fort'],"['145, Kala Ghoda, Fort, Mumbai']","['\xe2\x82\xb91,500']","['12 Noon to 1:30 AM (Mon-Fri),10 AM to 1:30 AM (Sat-Sun)']",['empty'],['022 40396638']
['Casual Dining'],"[""Grandmama's Cafe""]",['3.8'],['433 votes'],['366 reviews'],"['Continental', 'Italian']",['Juhu'],"['Hotel Royal Garden, Ground Floor, Juhu Tara Road, Juhu, Mumbai']","['\xe2\x82\xb91,100']",['9 AM to 12 Midnight (Mon-Sun)'],['empty'],['022 30151948']
['Caf\xc3\xa9'],['Tea Villa Cafe'],['3.8'],['985 votes'],['842 reviews'],"['Cafe', 'Italian', 'Desserts', 'Fast Food', 'Chinese', 'Tea']","['Versova, Andheri West']","['28, Aaram Nagar 1, Opposite Dariya Mahal, Versova, Andheri West']","['\xe2\x82\xb91,000']",['8 AM to 12:30 AM (Mon-Sun)'],"['Sea view', 'Veggie friendly']",['022 33126275']
['Caf\xc3\xa9'],"[""Grandmama's Caf\xc3\xa9""]",['4.0'],['1971 votes'],['1435 reviews'],['Cafe'],['Dadar East'],"['Shop 5, Near Swaminarayan Mandir, Pritam Estate, Dadar East, Mumbai']","['\xe2\x82\xb91,000']",['8 AM to 12 Midnight (Mon-Sun)'],['Trending this week'],['022 43449966']
"['Casual Dining', ',', 'Bar']",['Glocal Junction'],['3.9'],['1274 votes'],['867 reviews'],"['Continental', 'Fast Food', 'North Indian', 'Salad', 'European']","['Andheri Lokhandwala, Andheri West']","['Plot 57, Ground & 1st Floor, Morya Bluemoon Building, New Link Road, Andheri Lokhandwala, Andheri West, Mumbai']","['\xe2\x82\xb91,500']","['12 Noon to 1 AM (Mon-Sat),11 AM to 1 AM (Sun)']",['Get 15% off your first home-delivery order from us. Valid only when you order online on Zomato.'],['022 33126723']
"['Casual Dining', ',', 'Caf\xc3\xa9']",['Candies'],['4.4'],['8790 votes'],['3520 reviews'],"['Fast Food', 'Bakery', 'Desserts', 'Cafe', 'Pizza']","['Pali Hill, Bandra West']","['Mac Ronells, Next to Learners Academy School, Pali Hill, Bandra West']",['\xe2\x82\xb9700'],"['Closed (Mon),8:30 AM to 10 PM (Tue-Sun)']",['empty'],"['022 26430728, 022 26422324']"
['Casual Dining'],"[""Joey's Pizza""]",['4.1'],['4955 votes'],['2507 reviews'],['Pizza'],['Azad Nagar'],"['6 & 7, Upvan Building, Near Indian Oil Colony, DN Nagar, Azad Nagar, Mumbai']",['\xe2\x82\xb9800'],['11 AM to 11 PM (Mon-Sun)'],"['Value for money', 'Trending this week']","['022 26366660, 022 26304808']"
['Casual Dining'],['Mirchi And Mime'],['4.9'],['3030 votes'],['1956 reviews'],"['North Indian', 'South Indian', 'Mughlai']",['Powai'],"['Transocean House, Lake Boulevard, Hiranandani Business Park, Powai, Mumbai']","['\xe2\x82\xb91,500']","['12:30 PM to 3 PM, 6:30 PM to 11 PM (Mon-Sun)']",['Insta-worthy'],"['022 41415151, +91 8828024151']"
['Casual Dining'],['The Fusion Kitchen'],['4.7'],['1882 votes'],['1294 reviews'],"['North Indian', 'Italian', 'Chinese', 'Mexican']",['Borivali West'],"['Shop 1, Opposite Veda Building, Near Bhavdevi Garage, Holy Cross Road, IC colony, Borivali West, Mumbai']",['\xe2\x82\xb9950'],"['12:30 PM to 3 PM, 7:30 PM to 11:30 PM (Mon-Fri),12...']","['Value for money', 'Insta-worthy']",['022 30151462']
"['Casual Dining', ',', 'Pub']",['Versova Social'],['3.6'],['133 votes'],['115 reviews'],"['Mediterranean', 'American', 'North Indian', 'Desserts']","['Versova, Andheri West']","['1311/2, Plot B, Savitribai Jotiba Phule Road, Versova Link Road, Versova, Andheri West']","['\xe2\x82\xb91,200']",['9 AM to 12 Midnight (Mon-Sun)'],['Newly opened'],['+91 8655026123']
['Casual Dining'],['Leopold Cafe & Bar'],['4.2'],['5451 votes'],['2328 reviews'],"['Chinese', 'Continental', 'North Indian']",['Colaba'],"['S.B. Singh Road, Colaba Causeway, Colaba, Mumbai']","['\xe2\x82\xb91,600']",['7:30 AM to 12 Midnight (Mon-Sun)'],"['Legendary outlets', 'Beer in a bar']","['022 22828185, 022 22848054']"
